name,title,category
Don Abbatiello,Ward 2 Council Member,Government Officials
Maureen Curry,Ward 1 Council Member,Government Officials
David Montgomery,Ward 3 Council Member,Government Officials
Marc Korman,Delegate,Government Officials
Jennifer Vaccarro,community restoration coordinator,Government Officials
Brooke Lierman,Comptroller of Maryland,Government Officials
Lenny Pfeffer,Dorchester County Council President,Government Officials
Mike Detmer,Dorchester County Council Vice President,Government Officials
Jay Jacobs,Delegate,Government Officials
Wes Moore,Maryland Gov.,Government Officials
Jack Bailey,Sen.,Government Officials
Chris Adams,Del.,Government Officials
Kristen Fidler,DNR Assistant Secretary for Aquatic Resources,Government Officials
Patrick Thomas,county attorney,Government Officials
Christopher Adams,State Rep.,Government Officials
Johnny Mautz,Senator,Government Officials
Andy Harris,Congressman,Government Officials
Robert Ehrlich,Former Governor,Government Officials
Dan Sweeney,SOAR Lead,Government Officials
Gregg Bortz,DNR media relations manager,Government Officials
Brooke Rollins,U.S. Secretary of Agriculture,Government Officials
Andy Harris,"Rep. (R-Md., 1st)",Government Officials
Lori Chavez-DeRemer,U.S. Secretary of Labor,Government Officials
Donald Trump,President,Government Officials
