name,position,organization,sources
Don Beyer,Rep. (D-Virginia),,news/1981563EDB445CA8
Doug Tallamy,author and naturalist,,news/199634BFD964DEA8
Dutch Ruppersberger,U.S. Representative,,news/197A6F6F139755C8
Erin Braband,Trappe's town clerk,,news/19738B65B9DFE330
Eugene Austin,waterman,,news/19739A2A8FC36680
Eva Monheim,Horticultural author,,news/19739A3486D86D18
Francis Smith,of the Maryland Forest Service,,news/19893CE35DADF620
Gerry Connolly,Rep. (D-Virginia),,news/1981563EDB445CA8
Gregg Bortz,DNR media relations manager,Maryland Department of Natural Resources,news/1A1D91A20E512170
Gussie Maguire,CBF Maryland Staff Scientist,Chesapeake Bay Foundation,news/1A039C62D60E60A8
Herman Harrison,"President, Talbot County Watermen Association",,news/19D2195F62BBFBA8
Holly Michael,Professor of Earth Sciences,,news/194BA1B163917030
Holly Porter,Executive Director of the Delmarva Chicken Association,,news/19AFB81A0D6CC098
Isabel Hardesty,ShoreRivers Executive Director,,news/198B8E098F8CC238
Jamie Raskin,U.S. Representative,,news/195E42E46F98FF60
Jana Davis,Chesapeake Bay Trust President,,news/19937841FA241C08
Jay A. Perman,University System of Maryland Chancellor,,news/1943F02EB2460A78
Jay Falstad,Executive Director of the Queen Anne's Conservation Association,,"news/19859F46F5D58650, news/19893CE35DADF620, news/199634BFD964DEA8, news/199DAE83E3A90F10"
Jay Jacobs,state Delegate,,"news/194C45AA4EBC7218, news/19739A2D4A388FD8, news/1977C762599A0808"
Jeff Ghrist,State Del.,,"news/1977C762599A0808, news/197AC17F9E377940, news/19AFB81A0D6CC098"
Jeff Harrison,president of the Talbot Watermen Association,,"news/19739A2A8FC36680, news/19791D446EEA0280, news/1A00E1B926F488C0"
Jefferson Ghrist,Del.,,news/19739A3577648EA8
Jennie Schmidt,Sudlersville farmer,,news/19432574B8F03F88
Jenny Houghton,assistant director of Adkins Arboretum,,news/19893CE35DADF620
Joan Maloof,Founder of Old-Growth Forest Network,,news/19739A2869BA4040
Joe Biden,President,,news/1981563EDB445CA8
Joe Rogerson,DNREC wildlife biologist,,news/19B9101B0BE9D9B8
Joe Wood,Chesapeake Bay Foundation Virginia Senior Scientist,,news/195ADD0B2FB9A2D8
Joel Dunn,President and CEO of Chesapeake Conservancy,,news/1939343E69920378
John Carney,Governor,,news/194D0372DDCC4008
John Sarbanes,U.S. Representative,,"news/1943CF38E08276C8, news/194D0372B2A587C8, news/197A6F6F139755C8"
Johnny Mautz,State Sen.,,"news/1977C762599A0808, news/19791D446EEA0280, news/1985F5D540329D08, news/1999656585E1E3D0, news/19B9101D28177938"
Johnny Shockley,owner and founder of Blue Oyster,,news/194FFA2A5DB11300
Justin Ready,Senator,,"news/19738B66CCECCAC8, news/19739A3400E01348"
Karen Couch,Kent County Superintendent of Schools,,news/194C45AA4EBC7218
Kenneth Jeffries,Vice President of the Upper Bay Charter Captains Association,,news/1983F9E656B36AA8
Kent Mountford,biologist,Calvert Marine Museum,news/1950460C1C61A7D0
Kevin Atticks,Maryland Secretary of Agriculture,,news/19739A3577648EA8
Kristen Fidler,DNR Assistant Secretary for Aquatic Resources,Maryland Department of Natural Resources,news/19791D446EEA0280
Kristin Reilly,Director of the Choose Clean Water Coalition,,news/197A6F6F139755C8
Lee Currey,water and science administration director,,news/194A034A9E234178
Lenny Pfeffer,Dorchester County Council President,,news/194FFA2A5DB11300
Libby Garvey,Chair of the Arlington County Board,,news/1981563EDB445CA8
Lynn Mielke,Talbot County Council member,,news/19738B65B9DFE330
Malcolm Augustine,Senator,,news/197EB3CA1D36F930
Marc Korman,Committee Chair,,"news/197AC17F9E377940, news/19AFB81A0D6CC098"
Mark Rupp,EPA Assistant Deputy Administrator,,news/1981563EDB445CA8
Mary Beth Carozza,Senator,,news/197EB3CA1D36F930
Matt Neff,curator of estuarine biology,,news/198FD9465BA7BE10
Matt Pluta,Choptank riverkeeper and director of riverkeeper programs for ShoreRivers,,"news/195ADD0B2FB9A2D8, news/19996565990F4C68"
Mikaela Boley,University of Maryland Extension principal agent associate,,news/19432574B8F03F88
Mike Detmer,Dorchester County Council Vice President,,"news/194FFA2A5DB11300, news/19B9101D28177938"
Neil Gunter,state marine police officer,,news/194DEE28CC054540
Nick Hargrove,owner of Tilghman Island Seafood,,news/1A252371635BD1A0
Nicole Carlozo,program manager at Maryland DNR,Maryland Department of Natural Resources,news/19739A34AE21B910
Pamela Beidle,Maryland Senator,,news/1939343E6BAFB358
Patrick Thomas,county attorney,,news/197F5860A6229E78
Paul Pinsky,Maryland Energy Administration Director,,news/1939343E6BAFB358
Paul Small,CBF Vice President for Litigation,Chesapeake Bay Foundation,news/1A039C62D60E60A8
Peter Goodwin,UMCES President,,news/1943F02EB2460A78
Rachel Fazenbaker,waterman,,news/19739A2A8FC36680
Rachel Jacobson,"Assistant Secretary of the Army for Installations, Energy and Environment",,news/198D8960F733A338
Rob Newberry,Chair of the Delmarva Fisheries Association,,"news/19738B6628F415C8, news/1983F9E656B36AA8"
Rob Wittman,U.S. Representative,,news/194D0372B2A587C8
Robert Ehrlich,Former Governor,,news/19D2195F62BBFBA8
Ron Fithian,Kent County Commission President,,"news/19738B6628F415C8, news/1983F9E656B36AA8"
Sara Love,Delegate,,"news/19738B66CCECCAC8, news/19739A3400E01348, news/1977C762599A0808, news/197AC17F9E377940, news/19859F478E8F9D88"
Sarah Gavian,chair of the Dorchester Dems Committee,,news/19344042E46703F8
Scott Budden,Orchard Point president,,news/194D0372B0A07C80
Shane Brill,permaculture educator at Washington College,,"news/198D8960EDA4B910, news/198D89610625B330, news/198E31BEF80A5428"
Shawn Garvin,DNREC Secretary,,news/194D0372DDCC4008
Stephanie Alexander,Manager of the UMCES Horn Point Laboratory,,news/1A35EFD94A64CFF8
Steve Arentz,Del.,,"news/19739A3577648EA8, news/1977C762599A0808"
Steve Kline,President and CEO of Eastern Shore Land Conservancy,,news/1939343E69920378
Steve Phillips,"CEO, Phillips Seafood",,news/19D2195F62BBFBA8
Susan Coomer,First Vice-President of the Chestertown Garden Club,,"news/198D8960EDA4B910, news/198E31BEF80A5428"
Teri Moore,chairperson for the 2024 U.S. Oyster Festival Committee,Rotary Club of Lexington Park,news/19C25A9523D487F8
Tim Kaine,Sen. (D-Virginia),,news/1981563EDB445CA8
Travis Breeding,County Commission President,,"news/19738B66CCECCAC8, news/19739A2BA96A18B8, news/19739A3400E01348"
Van Hollen,U.S. Senator,,news/197A6F6F139755C8
Ward Slacum,"Executive Director, Oyster Recovery Partnership",,news/19D2195F62BBFBA8
Wes Moore,Maryland Gov.,,"news/19738B6628F415C8, news/19859F478E8F9D88, news/198BA2D671D03280, news/1999656585E1E3D0, news/19AFB81A0D6CC098"
William Ferguson,State Senate President,,news/1939343E6BAFB358
Zach Kelleher,Sassafras Riverkeeper,,news/198B8E098F8CC238
