name,title,category
to the safe,sanitary removal of wastewater while minimizing the impact to our environment,Other
Ruth Carmichael,marine ecologist,Scientists/Academics
Kate Shaffer,animal rescue program overseer,Other
Jamie Testa,dolphin researcher,Scientists/Academics
Dan Slone,manatee researcher,Scientists/Academics
Neil Gunter,state marine police officer,Scientists/Academics
Kent Mountford,biologist,Scientists/Academics
Thomas Copley,Jesuit priest,Other
Stephen Godfrey,Curator of Paleontology,Scientists/Academics
Terry Robbins,Chapter Chairman,Advocates
Chris Markin,program manager for Maryland DNR's Information and Hunting R3 program,Government Officials
the Pumpkin Drive,simple: community members are encouraged to bring their pumpkins to the St,Other
New Grounds Composting,Talbot County's first residential and commercial composting service,Business/Industry
annual Pumpkin Drive,taking place on Saturday,Other
Michaels Inn,located at 1228 S. Talbot Street,Other
of the rest,ensuring that the pumpkins are composted responsibly and transformed into nutrient-rich compost that benefits local soil,Watermen/Farmers
Tom Sanders,Pickering Board President,Government Officials
Experts say it,not unreasonable that you could reduce your bill by as much as 30% if you: Adjust the thermostat,Other
every possible opening,weather-stripped,Other
if your home,insulated,Other
determine if it,adequate,Government Officials
If the house,built before 1980 and not upgraded since,Business/Industry
But Baby,it's cold outside! But Baby,Other
Matt Pluta,Choptank Riverkeeper,Advocates
Joe Wood,Chesapeake Bay Foundation Virginia Senior Scientist,Advocates
The harvest,an 18% decrease from last year's official harvest of 20,Other
number of reasons,including hunter effort,Business/Industry
weather conditions,availability of natural foods like acorns and current population size of the herd,Scientists/Academics
Ben Ford,Miles-Wye riverkeeper,Advocates
Arthur Daniel Jones III,Professor,Scientists/Academics
Jamie Raskin,U.S. Representative,Government Officials
Chrissy Houlahan,U.S. Representative,Government Officials
Quentin Johnson,Director of Public Affairs,Business/Industry
Megan Mccabe,research specialist,Scientists/Academics
Tane Casserley,"Research, Resource Protection and Permit Coordinator",Scientists/Academics
Allyson Ropp,East Carolina PhD candidate,Scientists/Academics
Joan Maloof,Founder of Old-Growth Forest Network,Advocates
Carlos Estin,tree steward,Advocates
Jameson Harrington,councilman,Government Officials
Jeff Jackson,Commission Chairman,Government Officials
Hannah Cawley,Vice-Chairman,Government Officials
Roger McKnight,Member,Government Officials
Travis Breeding,County Commission President,Government Officials
Keith Bilbrough,Commission Member,Government Officials
Elizabeth Beales,board administrator,Government Officials
Andy Harris,U.S. Representative,Government Officials
Serena McIlwain,Maryland Department of the Environment Secretary,Government Officials
Anthony Brown,Attorney General,Government Officials
wanted dog park,initially included in draft park plans,Business/Industry
to Bradley Park,identified as a likely location,Other
and the town,working on a purchase or lease agreement for the site,Business/Industry
think it,a very smart decision,Other
of the park,intended as open space,Government Officials
The request,approved unanimously,Government Officials
Chuck Callahan,Talbot County Council President,Government Officials
Pete Lesher,Council Vice President,Government Officials
Erin Braband,Trappe's town clerk,Government Officials
Chip Councell,commission Chairman,Government Officials
Lynn Mielke,Talbot County Council member,Government Officials
Sara Love,Delegate,Government Officials
Justin Ready,Senator,Government Officials
Alan Girard,Eastern Shore director,Business/Industry
Larry Porter,Commission Vice President,Government Officials
Travis Breeding,Commission President,Government Officials
Chris Adams,Delegate,Government Officials
Alan Girard,Eastern Shore director at the Chesapeake Bay Foundation,Advocates
Nicole Carlozo,program manager at Maryland DNR,Government Officials
Cheryl Lewis,Town Manager,Business/Industry
Amanda Poskaitis,coastal resilience program manager,Business/Industry
Chris Becraft,Partner at Underwood and Associates,Business/Industry
Eva Monheim,Horticultural author,Other
Kevin Atticks,Maryland Secretary of Agriculture,Government Officials
Steve Arentz,Del.,Government Officials
Jefferson Ghrist,Del.,Government Officials
Don Sharpe,park champion,Other
Brooks Cahall,planning preservation and development section manager for DNREC,Government Officials
Desmond Kahn,retired fisheries biologist,Scientists/Academics
Wayne Bell,PhD,Scientists/Academics
Bettye Maki,Talbot Bird Club president,Advocates
Jeff Ghrist,State Del.,Government Officials
Jay Jacobs,Del.,Government Officials
Johnny Mautz,Sen.,Government Officials
Sara Love,Del.,Government Officials
Project at Poplar,Director Holly Miller gave an update on both the Paul S. Sarbanes Ecosystem Restoration,Business/Industry
in Talbot County,Miller said the Maryland Port Administration — along with the United,Government Officials
Dutch Ruppersberger,U.S. Representative,Government Officials
David Trone,U.S. Representative,Government Officials
Van Hollen,U.S. Senator,Government Officials
Kristin Reilly,Director of the Choose Clean Water Coalition,Advocates
Stephen J. Godfrey,Curator of Paleontology,Scientists/Academics
Paul R. Murdoch Jr.,Research Associate,Scientists/Academics
Jeff Ghrist,Delegate,Government Officials
Marc Korman,Committee Chair,Government Officials
in Talbot County,Miller said the Maryland Port Administration — along with the United States,Government Officials
Tamara Tsaturyan,owner and writer of Thriving In Parenting,Other
Mary Washington,Senator,Government Officials
Malcolm Augustine,Senator,Government Officials
Ken Kimmell,Vice President of Development for Offshore Wind,Business/Industry
Mary Beth Carozza,Senator,Government Officials
Keegan Hulett,Boy Scout,Other
Holly Keepers,Blackwater Wildlife biologist,Scientists/Academics
Mark Rupp,EPA Assistant Deputy Administrator,Government Officials
Joe Biden,President,Government Officials
Gerry Connolly,Rep. (D-Virginia),Government Officials
Libby Garvey,Chair of the Arlington County Board,Government Officials
Don Beyer,Rep. (D-Virginia),Government Officials
Tim Kaine,Sen. (D-Virginia),Government Officials
Jay Falstad,Executive Director of the Queen Anne's Conservation Association,Advocates
Beth Schlimm,Maryland DNR Herptologist,Government Officials
Rob Newberry,Chairman of Delmarva Fisheries Association,Advocates
Ron Fithian,Kent County Commission President,Government Officials
Brian Hardman,President of the Maryland Charter Boat Association,Advocates
Kenneth Jeffries,Vice President of the Upper Bay Charter Captains Association,Advocates
James Butera,Attorney,Other
Jacob Dykes,Wildlife Specialist and Assistant Professor,Scientists/Academics
Adam Hartstone-Rose,Biology Professor,Scientists/Academics
Wes Moore,Governor,Government Officials
Alan Girard,Maryland advocacy director at the Chesapeake Bay Foundation,Advocates
Daniel Fox,deputy county administrator,Government Officials
Marcus Lashley,professor of wildlife ecology and conservation,Scientists/Academics
William Gulsby,professor of wildlife ecology and management,Scientists/Academics
Ginna Tiernan,executive director of Adkins,Business/Industry
Francis Smith,of the Maryland Forest Service,Government Officials
Jay Falstad,Executive Director of Queen Anne's Conservation Association,Advocates
Jenny Houghton,assistant director of Adkins Arboretum,Business/Industry
Zach Kelleher,Sassafras Riverkeeper,Advocates
Autumn Conley,Chesapeake Conservation and Climate Corps member,Government Officials
Isabel Hardesty,ShoreRivers Executive Director,Business/Industry
Jeremy Werdell,NASA project scientist,Scientists/Academics
Amir Ibrahim,project science lead,Scientists/Academics
Vanderlei Martins,director of the Earth Space Institute and physics professor,Scientists/Academics
mating call,lower pitched,Other
after the work,done,Other
wetlands and woodlands,the first step to preserving amphibian populations,Advocates
like sleigh bells,signals the winter's end and the arrival of spring.,Other
These tiny frogs,only 0.75 to 1.5 inches long,Business/Industry
to periodic flooding,they form temporary ponds,Other
Bethany Ziegler,Communications Director,Business/Industry
Jo Perkins,President,Business/Industry
Justinian Dispenza,Member,Government Officials
Shane Brill,Permaculture educator,Scientists/Academics
Rachel Jacobson,"Assistant Secretary of the Army for Installations, Energy and Environment",Government Officials
Liz Miranda,"Deputy to the Commanding General, Communications and Electronics Command",Government Officials
Nancy Lawson,author,Other
Susan Coomer,First Vice-President of the Chestertown Garden Club,Advocates
Shane Brill,permaculture educator at Washington College,Scientists/Academics
Matt Neff,curator of estuarine biology,Scientists/Academics
Bonnie Farmer,communications and marketing coordinator,Business/Industry
Will Bontrager,author,Other
Jeff Coomer,club member,Other
Secethia Boardley-Davis,First Vice President,Business/Industry
Tom Horton,Columnist,Media/Journalists
Nicolaus Copernicus,Polish astronomer,Scientists/Academics
Eileen Crist,Sociologist,Scientists/Academics
Paul Krafel,Naturalist,Advocates
Lindsey Craig,IKEA Sustainability Business Partner,Business/Industry
Allison Colden,Maryland executive director of the Chesapeake Bay Foundation,Advocates
Luke McFadden,Baltimore crabber and social media influencer,Watermen/Farmers
Desiree Greaver,project manager for the Back River Restoration Committee,Business/Industry
Alice Volpitta,Baltimore Harbor Waterkeeper for Blue Water Baltimore,Advocates
Ben Grumbles,Maryland Environment Secretary,Government Officials
Jana Davis,Chesapeake Bay Trust President,Advocates
Sarita Harbour,Food Drink Life author,Other
Doug Tallamy,author and naturalist,Scientists/Academics
Oliver Milman,author,Media/Journalists
creating the island,to reestablish some of the habitat that waterfowl and shorebirds have lost around the Chesapeake to,Government Officials
to rising seas,erosion,Other
Rivera Sun,Columnist,Media/Journalists
Allison Colden,executive director of the Chesapeake Bay Foundation Maryland,Advocates
Chris Moore,executive director of Chesapeake Bay Foundation,Advocates
The freeboard,required in order to prevent overflows or spills into waterways during events like heavy rains,Other
of the Environment,stepping up to levy fines and enforce the terms of the consent decree,Government Officials
think there,a lot of hope that with the new ownership of this facility that we would see a change in the operati,Other
the facility,put under a consent decree with MDE,Government Officials
that could harm,"Director Alan Girard said Darling Ingredients has committed violations ""time and again""",Business/Industry
of empty capacity,or freeboard,Other
Jake Solyst,web content manager,Business/Industry
Robert Rauch,president of Rauch Inc.,Business/Industry
Alan Girard,advocacy director of the Chesapeake Bay Foundation,Advocates
Matt Pluta,Choptank riverkeeper and director of riverkeeper programs for ShoreRivers,Advocates
Brian Schmidt,Trappe Town Council president,Government Officials
Johnny Mautz,State Sen.,Government Officials
Wes Moore,Gov.,Government Officials
Laura Koeneman,adoption and foster coordinator,Other
Nancy Benner,program coordinator,Advocates
Andrea Grabenstein,author,Other
Ashley Kaiser,Council President,Government Officials
Ronald Reagan,U.S. President,Government Officials
David Sikorski,executive director of the Coastal Conservation Association in Maryland,Advocates
Allison Colden,Chesapeake Bay Foundation's Maryland Executive Director,Advocates
Joe Rogerson,DNREC wildlife biologist,Government Officials
Andrew Rubin,Newark Police Department spokesman,Government Officials
Rick Van Emburgh,Town Engineer,Government Officials
Elmer Davis,Ward 4 Council Member,Government Officials
Don Abbatiello,Ward 2 Council Member,Government Officials
Maureen Curry,Ward 1 Council Member,Government Officials
David Montgomery,Ward 3 Council Member,Government Officials
Al Martinez,President of the Tuckahoe Equestrian Center,Business/Industry
Marc Korman,Delegate,Government Officials
Holly Porter,Executive Director of the Delmarva Chicken Association,Advocates
Jennifer Vaccarro,community restoration coordinator,Government Officials
Rafael Cuevas Uribe,fisheries biology professor,Scientists/Academics
Rick Zechman,associate dean of marine operations,Scientists/Academics
Martien van Nieuwkoop,global director for agriculture and food,Business/Industry
Hal McBee,Orchard Point partner,Business/Industry
Scott Budden,Orchard Point president,Business/Industry
Brian Connelly,Orchard Point treasurer,Business/Industry
Brooke Lierman,Comptroller of Maryland,Government Officials
Johnny Shockley,owner and founder of Blue Oyster,Watermen/Farmers
Lenny Pfeffer,Dorchester County Council President,Government Officials
Mike Detmer,Dorchester County Council Vice President,Government Officials
Beth Anne Dorman,chief executive officer of For All Seasons,Business/Industry
Kristy Mirando,director of Victim Services,Business/Industry
Suzanne Anderson,Program Manager,Business/Industry
Buck Lynch,Captain,Watermen/Farmers
Brent Lewis,moderator,Other
George O'Donnell,waterman and politician,Watermen/Farmers
Calvert Thompson,waterman,Watermen/Farmers
Jeff Harrison,waterman,Watermen/Farmers
Rachel Fazenbaker,waterman,Watermen/Farmers
Eugene Austin,waterman,Watermen/Farmers
Jay Jacobs,Delegate,Government Officials
Wes Moore,Maryland Gov.,Government Officials
Allison Colden,Chesapeake Bay Foundation Executive Director,Advocates
Rob Newberry,Chair of the Delmarva Fisheries Association,Advocates
Solar Oysters LLC,has moved from Baltimore Harbor to Fishing Bay in Dorchester County.,Watermen/Farmers
Blue Oyster Environmental,which,Advocates
Jack Bailey,Sen.,Government Officials
Chris Adams,Del.,Government Officials
Allison Colden,Maryland executive director,Business/Industry
Kristen Fidler,DNR Assistant Secretary for Aquatic Resources,Government Officials
Jeff Harrison,president of Talbot Watermen Association,Advocates
Patrick Thomas,county attorney,Government Officials
Linda Haddaway King,Rev.,Other
David McQuay,Lifelong boat builder,Watermen/Farmers
Christopher Adams,State Rep.,Government Officials
Rob King,Rev.,Other
Steve McHenry,MARBIDCO Executive Director,Business/Industry
David Rose,board member,Other
Pat Johnson,president,Business/Industry
Johnny Mautz,Senator,Government Officials
Andy Harris,Congressman,Government Officials
Mike Detmer,Vice President,Business/Industry
Christopher Judy,Shellfish Division Director,Business/Industry
Teri Moore,chairperson for the 2024 U.S. Oyster Festival Committee,Watermen/Farmers
Jack Brooks,"President, J.M. Clayton Company",Business/Industry
Ward Slacum,"Executive Director, Oyster Recovery Partnership",Watermen/Farmers
Steve Phillips,"CEO, Phillips Seafood",Watermen/Farmers
Herman Harrison,"President, Talbot County Watermen Association",Advocates
Alexandra Vlk,Medical Student,Scientists/Academics
Robert Ehrlich,Former Governor,Government Officials
Jeff Harrison,president of the Talbot Watermen Association,Advocates
Paul Small,CBF Vice President for Litigation,Advocates
Toni Sprenkle,Executive Director of BDC,Business/Industry
Gussie Maguire,CBF Maryland Staff Scientist,Scientists/Academics
Imani Black,Oyster farmer,Watermen/Farmers
Andrea Grabenstein,Reporter,Media/Journalists
Steve Burleson,Organizer,Advocates
Emma Ewing,Executive Director,Business/Industry
Amy Jacobs,Chesapeake Bay Director,Business/Industry
Dan Sweeney,SOAR Lead,Government Officials
Gregg Bortz,DNR media relations manager,Government Officials
Brooke Rollins,U.S. Secretary of Agriculture,Government Officials
Andy Harris,"Rep. (R-Md., 1st)",Government Officials
Nick Hargrove,owner of Tilghman Island Seafood,Watermen/Farmers
Lori Chavez-DeRemer,U.S. Secretary of Labor,Government Officials
Stephanie Alexander,Manager of the UMCES Horn Point Laboratory,Scientists/Academics
Donald Trump,President,Government Officials
