name,title
Allison Colden,"Executive Director, Chesapeake Bay Foundation"
Rob Wittman,U.S. Representative
Carrie Selberg Robinson,"Director, NOAA Habitat Conservation Office"
Cliff Bentz,U.S. Representative
the program,also providing funding for ShoreRivers to design multiple green infrastructure projects at St
"OF SHORERIVERS
 
ShoreRivers",in the process of establishing perennial wildflower meadows at James T
mowed lawn areas,or turf grass
Park in Preston,Oxford Cemetery
towns of Preston,Oxford
Darran White Tilghman,director of community engagement
of the backup,due to the sewer line being clogged with a combination of grease
has confirmed there,minimal impact on public health
Department has confirmed,manager.No customers were impacted by this event. While the Talbot County Health
into Windmill Branch,headwaters of the Tred Avon River
In addition,everyone should keep fats oil
to the safe,sanitary removal of wastewater while minimizing the impact to our environment
Ruth Carmichael,marine ecologist
Kate Shaffer,animal rescue program overseer
Jamie Testa,dolphin researcher
Dan Slone,manatee researcher
Neil Gunter,state marine police officer
Kent Mountford,biologist
Richard Fernicola,
Thomas Copley,Jesuit priest
Stephen Godfrey,Curator of Paleontology
Michael Reid,
Willy Dean,
Terry Robbins,Chapter Chairman
Lee Brohawn,
Sharron Owens,
Jim Taylor,
Chris Markin,program manager for Maryland DNR's Information and Hunting R3 program
Donnie Satchell,
Wade Henry,
Donald Webster,
Chuck Black,
the Pumpkin Drive,simple: community members are encouraged to bring their pumpkins to the St
New Grounds Composting,Talbot County's first residential and commercial composting service
annual Pumpkin Drive,taking place on Saturday
Michaels Inn,located at 1228 S. Talbot Street
of the rest,ensuring that the pumpkins are composted responsibly and transformed into nutrient-rich compost that benefits local soil
Tom Sanders,Pickering Board President
Experts say it,not unreasonable that you could reduce your bill by as much as 30% if you: Adjust the thermostat
every possible opening,weather-stripped
if your home,insulated
determine if it,adequate
If the house,built before 1980 and not upgraded since
But Baby,it's cold outside! But Baby
Matt Pluta,Choptank Riverkeeper
Joe Wood,Chesapeake Bay Foundation Virginia Senior Scientist
The harvest,an 18% decrease from last year's official harvest of 20
number of reasons,including hunter effort
weather conditions,availability of natural foods like acorns and current population size of the herd
Ben Ford,Miles-Wye riverkeeper
Arthur Daniel Jones III,Professor
Jamie Raskin,U.S. Representative
Chrissy Houlahan,U.S. Representative
Quentin Johnson,Director of Public Affairs
Jay Apperson,
Megan Mccabe,research specialist
Tane Casserley,"Research, Resource Protection and Permit Coordinator"
Allyson Ropp,East Carolina PhD candidate
Joan Maloof,Founder of Old-Growth Forest Network
Peter Stifel,
Cheryl Lewis,
Carlos Estin,tree steward
Jameson Harrington,councilman
Leslie Harris,
Jeff Jackson,Commission Chairman
Hannah Cawley,Vice-Chairman
Roger McKnight,Member
Travis Breeding,County Commission President
Keith Bilbrough,Commission Member
Elizabeth Beales,board administrator
Andy Harris,U.S. Representative
Serena McIlwain,Maryland Department of the Environment Secretary
Anthony Brown,Attorney General
wanted dog park,initially included in draft park plans
to Bradley Park,identified as a likely location
and the town,working on a purchase or lease agreement for the site
think it,a very smart decision
of the park,intended as open space
The request,approved unanimously
Chuck Callahan,Talbot County Council President
Pete Lesher,Council Vice President
Erin Braband,Trappe's town clerk
Dan Watson,
Chip Councell,commission Chairman
Lynn Mielke,Talbot County Council member
Sara Love,Delegate
Justin Ready,Senator
Alan Girard,Eastern Shore director
Larry Porter,Commission Vice President
Travis Breeding,Commission President
Chris Adams,Delegate
Alan Girard,Eastern Shore director at the Chesapeake Bay Foundation
Nicole Carlozo,program manager at Maryland DNR
Cheryl Lewis,Town Manager
Amanda Poskaitis,coastal resilience program manager
Chris Becraft,Partner at Underwood and Associates
Eva Monheim,Horticultural author
Kevin Atticks,Maryland Secretary of Agriculture
Steve Arentz,Del.
Jefferson Ghrist,Del.
Connie Connolly,
S. Hallock du Pont,
Richard du Pont,
Don Sharpe,park champion
Brooks Cahall,planning preservation and development section manager for DNREC
Jason Coleman,
Desmond Kahn,retired fisheries biologist
Wayne Bell,PhD
Bettye Maki,Talbot Bird Club president
Dave Burgevin,
Jeff Ghrist,State Del.
Jay Jacobs,Del.
Johnny Mautz,Sen.
Sara Love,Del.
Project at Poplar,Director Holly Miller gave an update on both the Paul S. Sarbanes Ecosystem Restoration
in Talbot County,Miller said the Maryland Port Administration — along with the United
Dutch Ruppersberger,U.S. Representative
David Trone,U.S. Representative
Van Hollen,U.S. Senator
Kristin Reilly,Director of the Choose Clean Water Coalition
Stephen J. Godfrey,Curator of Paleontology
Paul R. Murdoch Jr.,Research Associate
Victor J. Perez,
Jeff Ghrist,Delegate
Marc Korman,Committee Chair
in Talbot County,Miller said the Maryland Port Administration — along with the United States
Tamara Tsaturyan,owner and writer of Thriving In Parenting
David R. Boyd,
Marcos Orellana,
Siobhan Alvarez-Borland,
Mary Washington,Senator
Malcolm Augustine,Senator
Ken Kimmell,Vice President of Development for Offshore Wind
Mary Beth Carozza,Senator
Keegan Hulett,Boy Scout
Holly Keepers,Blackwater Wildlife biologist
Jeannie VanDyke,
Will Bontrager,
Allison Colden,
Mark Rupp,EPA Assistant Deputy Administrator
Joe Biden,President
Gerry Connolly,Rep. (D-Virginia)
Libby Garvey,Chair of the Arlington County Board
Don Beyer,Rep. (D-Virginia)
Tim Kaine,Sen. (D-Virginia)
Jay Falstad,Executive Director of the Queen Anne's Conservation Association
Beth Schlimm,Maryland DNR Herptologist
Rob Newberry,Chairman of Delmarva Fisheries Association
Ron Fithian,Kent County Commission President
Brian Nesspor,
Brian Hardman,President of the Maryland Charter Boat Association
Kenneth Jeffries,Vice President of the Upper Bay Charter Captains Association
James Butera,Attorney
Bill Peak,
Jacob Dykes,Wildlife Specialist and Assistant Professor
Adam Hartstone-Rose,Biology Professor
Wes Moore,Governor
Alan Girard,Maryland advocacy director at the Chesapeake Bay Foundation
Daniel Fox,deputy county administrator
Veronica Fernandez-Alvarado,
Marcus Lashley,professor of wildlife ecology and conservation
William Gulsby,professor of wildlife ecology and management
William Bartram,
Elle Hogan,
Ginna Tiernan,executive director of Adkins
Francis Smith,of the Maryland Forest Service
Jay Falstad,Executive Director of Queen Anne's Conservation Association
Jenny Houghton,assistant director of Adkins Arboretum
Zach Kelleher,Sassafras Riverkeeper
Autumn Conley,Chesapeake Conservation and Climate Corps member
Isabel Hardesty,ShoreRivers Executive Director
Anne Stevens,
Jeremy Werdell,NASA project scientist
Amir Ibrahim,project science lead
Vanderlei Martins,director of the Earth Space Institute and physics professor
mating call,lower pitched
after the work,done
wetlands and woodlands,the first step to preserving amphibian populations
like sleigh bells,signals the winter's end and the arrival of spring.
These tiny frogs,only 0.75 to 1.5 inches long
to periodic flooding,they form temporary ponds
Bethany Ziegler,Communications Director
Jo Perkins,President
Justinian Dispenza,Member
Shane Brill,Permaculture educator
Rachel Jacobson,"Assistant Secretary of the Army for Installations, Energy and Environment"
Liz Miranda,"Deputy to the Commanding General, Communications and Electronics Command"
Nancy Lawson,author
Susan Coomer,First Vice-President of the Chestertown Garden Club
Shane Brill,permaculture educator at Washington College
Matt Neff,curator of estuarine biology
Bonnie Farmer,communications and marketing coordinator
Will Bontrager,author
Jeff Coomer,club member
Secethia Boardley-Davis,First Vice President
Tom Horton,Columnist
Nicolaus Copernicus,Polish astronomer
Charles Darwin,
Eileen Crist,Sociologist
Paul Krafel,Naturalist
Lindsey Craig,IKEA Sustainability Business Partner
Allison Colden,Maryland executive director of the Chesapeake Bay Foundation
Luke McFadden,Baltimore crabber and social media influencer
Desiree Greaver,project manager for the Back River Restoration Committee
Alice Volpitta,Baltimore Harbor Waterkeeper for Blue Water Baltimore
Ben Grumbles,Maryland Environment Secretary
Jana Davis,Chesapeake Bay Trust President
Sarita Harbour,Food Drink Life author
Laura Sampson,
Doug Tallamy,author and naturalist
Oliver Milman,author
creating the island,to reestablish some of the habitat that waterfowl and shorebirds have lost around the Chesapeake to
to rising seas,erosion
Rivera Sun,Columnist
Allison Colden,executive director of the Chesapeake Bay Foundation Maryland
Chris Moore,executive director of Chesapeake Bay Foundation
The freeboard,required in order to prevent overflows or spills into waterways during events like heavy rains
of the Environment,stepping up to levy fines and enforce the terms of the consent decree
think there,a lot of hope that with the new ownership of this facility that we would see a change in the operati
the facility,put under a consent decree with MDE
that could harm,"Director Alan Girard said Darling Ingredients has committed violations ""time and again"""
of empty capacity,or freeboard
Dennis Melms,
Jake Solyst,web content manager
Bill,
Robert Rauch,president of Rauch Inc.
Alan Girard,advocacy director of the Chesapeake Bay Foundation
Matt Pluta,Choptank riverkeeper and director of riverkeeper programs for ShoreRivers
Brian Schmidt,Trappe Town Council president
Johnny Mautz,State Sen.
Wes Moore,Gov.
Konner Metz,
Laura Koeneman,adoption and foster coordinator
Nancy Benner,program coordinator
Karla Wieland-Cherry,
Andrea Grabenstein,author
Jay Falstad,
Ashley Kaiser,Council President
Ronald Reagan,U.S. President
Walter Mondale,
H.L. Mencken,
Bronza Parks,
David Sikorski,executive director of the Coastal Conservation Association in Maryland
Allison Colden,Chesapeake Bay Foundation's Maryland Executive Director
Haz Life Fishing,
Ernest Robinson,
Joe Rogerson,DNREC wildlife biologist
Andrew Rubin,Newark Police Department spokesman
Rachael DeFilippis,
Rick Van Emburgh,Town Engineer
Elmer Davis,Ward 4 Council Member
Don Abbatiello,Ward 2 Council Member
Maureen Curry,Ward 1 Council Member
David Montgomery,Ward 3 Council Member
Jenna Krinsky,
Al Martinez,President of the Tuckahoe Equestrian Center
Stacy Frank,
Marc Korman,Delegate
Holly Porter,Executive Director of the Delmarva Chicken Association
Jennifer Vaccarro,community restoration coordinator
Sophie Leight,
Carlos Estin,
