name,title,category
Johnny Mautz,State Sen.,Government Officials
Wes Moore,Gov.,Government Officials
Joe Rogerson,DNREC wildlife biologist,Government Officials
Marc Korman,Delegate,Government Officials
Brooke Lierman,Comptroller of Maryland,Government Officials
Lenny Pfeffer,Dorchester County Council President,Government Officials
Mike Detmer,Dorchester County Council Vice President,Government Officials
Wes Moore,Maryland Gov.,Government Officials
Chris Adams,Del.,Government Officials
Kristen Fidler,DNR Assistant Secretary for Aquatic Resources,Government Officials
Patrick Thomas,county attorney,Government Officials
Robert Ehrlich,Former Governor,Government Officials
Gregg Bortz,DNR media relations manager,Government Officials
Andy Harris,"Rep. (R-Md., 1st)",Government Officials
Eva Monheim,Horticultural author,Other
Mikaela Boley,University of Maryland Extension principal agent associate,Scientists/Academics
Christa Carignan,University of Maryland Extension coordinator of digital horticulture education,Scientists/Academics
Peter Goodwin,UMCES President,Scientists/Academics
Jay A. Perman,University System of Maryland Chancellor,Scientists/Academics
Bill Dennison,UMCES Vice President,Scientists/Academics
Holly Michael,Professor of Earth Sciences,Scientists/Academics
Neil Gunter,state marine police officer,Scientists/Academics
Kent Mountford,biologist,Scientists/Academics
Shane Brill,permaculture educator at Washington College,Scientists/Academics
Matt Neff,curator of estuarine biology,Scientists/Academics
Doug Tallamy,author and naturalist,Scientists/Academics
Gussie Maguire,CBF Maryland Staff Scientist,Scientists/Academics
Stephanie Alexander,Manager of the UMCES Horn Point Laboratory,Scientists/Academics
Jennie Schmidt,Sudlersville farmer,Watermen/Farmers
into Windmill Branch,headwaters of the Tred Avon River,Watermen/Farmers
Johnny Shockley,owner and founder of Blue Oyster,Watermen/Farmers
Calvert Thompson,waterman,Watermen/Farmers
Jeff Harrison,waterman,Watermen/Farmers
Rachel Fazenbaker,waterman,Watermen/Farmers
Eugene Austin,waterman,Watermen/Farmers
Teri Moore,chairperson for the 2024 U.S. Oyster Festival Committee,Watermen/Farmers
Ward Slacum,"Executive Director, Oyster Recovery Partnership",Watermen/Farmers
Steve Phillips,"CEO, Phillips Seafood",Watermen/Farmers
Nick Hargrove,owner of Tilghman Island Seafood,Watermen/Farmers
